Rooms,Square,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2,Price,Price_sq_meter_y
2.0,47.981561235175036,6.0,7,9.0,1969,0.089039719,0,0,33,7976,5,900.0,0,11,0,184966.9307298416,4358.274853343686
3.0,65.68363987232783,8.0,7,9.0,1978,6.99893e-05,0,0,46,10309,1,240.0,1,16,0,300009.4500627274,4437.304072496336
2.0,44.947952764125006,0.0,8,12.0,1968,0.049637257,0,0,34,7759,0,229.0,1,3,0,220925.90852358093,4832.085356492249
2.0,53.352981355613345,9.0,8,17.0,1977,0.43788524,0,0,23,5735,3,1084.0,0,5,0,175616.22721724625,2963.980646359796
1.0,39.649191950029994,7.0,11,12.0,1976,0.012338886,0,0,35,5776,1,2078.0,2,4,0,150226.5316437466,3994.5317696987863
3.0,80.38447920267191,12.0,5,17.0,2011,0.309479124,0,0,35,7715,4,990.0,0,6,0,215898.44774214894,4736.6316107216
2.0,62.254113586402504,7.0,3,5.0,1960,0.460556389,0,0,20,4386,14,900.0,1,5,0,296021.2043771131,5445.489427396124
2.0,80.31292563185586,0.0,14,0.0,1977,0.075778755,0,0,6,1437,3,900.0,0,2,0,221244.15666358554,3319.318045403382
2.0,64.51143730838427,1.0,9,17.0,1977,0.007122317,0,0,1,264,0,900.0,0,1,0,229102.7959994131,3251.274406336983
1.0,46.46140869718414,8.0,13,17.0,2014,0.075778755,0,0,6,1437,3,900.0,0,2,0,95380.22099316985,2272.4391831680537
2.0,46.30490677332586,6.0,8,9.0,1973,0.118537385,0,0,30,6207,1,1183.0,1,0,0,204243.55312879704,4382.413947200826
3.0,68.80885909839964,7.0,1,8.0,1959,0.0,0,0,23,3684,2,900.0,0,4,0,165534.5414246522,5480.216930281392
2.0,54.5228049029371,1.0,8,12.0,1999,0.090799103,0,0,74,19083,2,900.0,5,15,0,229220.37260914012,4273.749206965422
